File,Status,Reason,References
.gitignore,REQUIRED,Protected entry/config/test/page or referenced by repository code.,
PROJECT_HEALTH_REPORT.md,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,run_full_audit.py (path reference)
README.md,REQUIRED,Protected entry/config/test/page or referenced by repository code.,
SPEKITE.md,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
accessibility/__init__.py,POTENTIALLY UNUSED,Package marker; keep unless package is removed.,
accessibility/__pycache__/__init__.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
accessibility/__pycache__/keyboard_nav.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
accessibility/__pycache__/screen_reader_hints.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
accessibility/__pycache__/theme_manager.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
accessibility/keyboard_nav.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,accessibility/__init__.py (python import); app/pages/accessibility.py (python import); tests/test_systems.py (python import)
accessibility/screen_reader_hints.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,app/pages/accessibility.py (python import)
accessibility/theme_manager.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,accessibility/__init__.py (python import); app/pages/accessibility.py (python import); tests/test_systems.py (python import)
ai_engine/__init__.py,POTENTIALLY UNUSED,Package marker; keep unless package is removed.,
ai_engine/__pycache__/__init__.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/computer_vision/__init__.py,POTENTIALLY UNUSED,Package marker; keep unless package is removed.,
ai_engine/computer_vision/__pycache__/__init__.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/computer_vision/__pycache__/camera.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/computer_vision/__pycache__/holistic.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/computer_vision/camera.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,app/pages/live_translation.py (python import); app/pages/training_studio.py (python import)
ai_engine/computer_vision/holistic.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/inference/pipeline.py (python import); ai_engine/pipeline/vision_pipeline.py (python import)
ai_engine/dataset_manager/__init__.py,POTENTIALLY UNUSED,Package marker; keep unless package is removed.,
ai_engine/dataset_manager/recorder.py,POTENTIALLY UNUSED,No static import/reference found; review before deleting.,
ai_engine/datasets/__init__.py,POTENTIALLY UNUSED,Package marker; keep unless package is removed.,
ai_engine/datasets/__pycache__/__init__.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/datasets/__pycache__/dataset_manager.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/datasets/data/dataset_index.json,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/datasets/dataset_manager.py (basename reference); ai_engine/gesture_recognition/dataset/dataset_manager.py (basename reference)
ai_engine/datasets/data/offline_history.json,REQUIRED,Protected entry/config/test/page or referenced by repository code.,app/pages/admin.py (asset/model name reference); app/services/database_service.py (basename reference)
ai_engine/datasets/dataset_manager.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,app/services/ai_service.py (python import)
ai_engine/exporters/__init__.py,POTENTIALLY UNUSED,Package marker; keep unless package is removed.,
ai_engine/exporters/__pycache__/__init__.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/exporters/__pycache__/csv_exporter.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/exporters/__pycache__/json_exporter.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/exporters/__pycache__/parquet_exporter.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/exporters/csv_exporter.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/exporters/parquet_exporter.py (python import); ai_engine/gesture_recognition/dataset/dataset_manager.py (python import); frontend/pages/live_vision_engine.py (python import); tests/test_scaffolding.py (python import)
ai_engine/exporters/json_exporter.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/gesture_recognition/dataset/dataset_manager.py (python import); frontend/pages/live_vision_engine.py (python import); tests/test_scaffolding.py (python import)
ai_engine/exporters/parquet_exporter.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/gesture_recognition/dataset/dataset_manager.py (python import); frontend/pages/live_vision_engine.py (python import); tests/test_scaffolding.py (python import)
ai_engine/feature_extractor/__init__.py,POTENTIALLY UNUSED,Package marker; keep unless package is removed.,
ai_engine/feature_extractor/extractor.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/pipeline/vision_pipeline.py (python import)
ai_engine/gesture_recognition/__init__.py,POTENTIALLY UNUSED,Package marker; keep unless package is removed.,
ai_engine/gesture_recognition/__pycache__/__init__.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/gesture_recognition/__pycache__/detector.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/gesture_recognition/dataset/__pycache__/dataset_manager.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/gesture_recognition/dataset/__pycache__/gesture_recorder.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/gesture_recognition/dataset/__pycache__/sample_validator.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/gesture_recognition/dataset/dataset_manager.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/gesture_recognition/dataset/gesture_recorder.py (python import); ai_engine/gesture_recognition/services/gesture_service.py (python import); ai_engine/gesture_recognition/training/trainer.py (python import); tests/test_gesture_recognition.py (python import)
ai_engine/gesture_recognition/dataset/gesture_recorder.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/gesture_recognition/services/gesture_service.py (python import); tests/test_gesture_recognition.py (python import)
ai_engine/gesture_recognition/dataset/sample_validator.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/gesture_recognition/dataset/dataset_manager.py (python import); ai_engine/gesture_recognition/dataset/gesture_recorder.py (python import); tests/test_gesture_recognition.py (python import)
ai_engine/gesture_recognition/detector.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/inference/pipeline.py (python import)
ai_engine/gesture_recognition/features/__pycache__/landmark_features.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/gesture_recognition/features/landmark_features.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/gesture_recognition/inference/predictor.py (python import); tests/test_gesture_recognition.py (python import)
ai_engine/gesture_recognition/features/motion_features.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,tests/test_gesture_recognition.py (python import)
ai_engine/gesture_recognition/features/temporal_features.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,tests/test_gesture_recognition.py (python import)
ai_engine/gesture_recognition/inference/__pycache__/confidence_engine.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/gesture_recognition/inference/__pycache__/post_processor.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/gesture_recognition/inference/__pycache__/predictor.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/gesture_recognition/inference/confidence_engine.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/gesture_recognition/inference/predictor.py (python import); tests/test_gesture_recognition.py (python import)
ai_engine/gesture_recognition/inference/post_processor.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/gesture_recognition/inference/predictor.py (python import); ai_engine/sequence_models/seq_model.py (python import); tests/test_gesture_recognition.py (python import)
ai_engine/gesture_recognition/inference/predictor.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/gesture_recognition/detector.py (python import); ai_engine/gesture_recognition/services/gesture_service.py (python import); ai_engine/sequence_models/seq_model.py (python import); tests/test_gesture_recognition.py (python import)
ai_engine/gesture_recognition/models/__pycache__/alphabet_model.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/gesture_recognition/models/__pycache__/word_model.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/gesture_recognition/models/alphabet_model.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/gesture_recognition/inference/predictor.py (python import); ai_engine/gesture_recognition/training/trainer.py (python import); tests/test_gesture_recognition.py (python import)
ai_engine/gesture_recognition/models/sentence_model.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,tests/test_gesture_recognition.py (python import)
ai_engine/gesture_recognition/models/word_model.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/gesture_recognition/inference/predictor.py (python import); ai_engine/gesture_recognition/training/trainer.py (python import); run_full_audit.py (python import); tests/test_gesture_recognition.py (python import)
ai_engine/gesture_recognition/schemas/prediction_schema.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,tests/test_gesture_recognition.py (python import)
ai_engine/gesture_recognition/services/__pycache__/gesture_service.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/gesture_recognition/services/gesture_service.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,frontend/pages/live_gesture_recognition.py (python import); tests/test_gesture_recognition.py (python import)
ai_engine/gesture_recognition/storage/__pycache__/checkpoint_manager.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/gesture_recognition/storage/__pycache__/model_registry.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/gesture_recognition/storage/checkpoint_manager.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/gesture_recognition/training/trainer.py (python import); tests/test_gesture_recognition.py (python import)
ai_engine/gesture_recognition/storage/model_registry.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/gesture_recognition/inference/predictor.py (python import); ai_engine/gesture_recognition/services/gesture_service.py (python import); ai_engine/gesture_recognition/training/trainer.py (python import); tests/test_gesture_recognition.py (python import)
ai_engine/gesture_recognition/training/__pycache__/evaluator.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
ai_engine/gesture_recognition/training/__pycache__/hyperparameter_tuner.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
